Score,H_statistic,p_value,Significance,G1_mean,G2_mean,G3_mean,G4_mean
A0_score,2.16,0.539,n.s.,2.9,2.56,2.73,3.5
A1_score,0.38,0.945,n.s.,3.14,3.08,3.07,3.33
A2_score,3.73,0.292,n.s.,2.86,3.23,3.27,3.67
A3_score,2.3,0.513,n.s.,3.38,3.31,3.27,3.83
A4_score,1.89,0.596,n.s.,3.29,3.28,3.27,3.83
A5_score,3.83,0.28,n.s.,3.31,3.38,3.27,4.0
A6_score,6.56,0.087,n.s.,3.18,3.23,2.5,4.0
HE_index,3.16,0.367,n.s.,3.15,3.15,3.08,3.72
