HE_level,A0_score,A1_score,A2_score,A3_score,A4_score,A5_score,A6_score,HE_index
Level 1 – Nascent HE,1.75,2.08,1.83,1.83,2.33,2.67,2.12,2.09
Level 2 – Developing HE,2.31,3.07,2.95,3.26,3.02,3.14,2.75,2.94
Level 3 – Advanced HE,3.46,3.42,3.56,3.83,3.81,3.75,3.75,3.65
