Word,Count
Creatività,9
Passione,7
Leadership,5
Resilienza,5
Empatia,5
Innovazione,5
Pazienza,4
Intraprendenza,3
Sostenibilità,3
Affidabilità,3
Visione,3
Curiosità,2
Creativity,2
Qualità,2
Valori,2
Identità,2
Capacità,2
Fiducia,2
Intelligenza,2
Cultura,2
