,count,mean,std,min,25%,50%,75%,max
A0_score,34.0,2.784313725490197,0.8871789852067249,1.0,2.0,3.0,3.3333333333333335,4.0
A1_score,34.0,3.1176470588235294,0.7560412265903351,1.0,3.0,3.3333333333333335,3.6666666666666665,4.0
A2_score,34.0,3.107843137254902,0.7326929629902613,1.0,2.75,3.0,3.6666666666666665,4.0
A3_score,34.0,3.3627450980392157,0.6980861140420572,1.3333333333333333,3.0833333333333335,3.6666666666666665,4.0,4.0
A4_score,34.0,3.313725490196078,0.6300081580925919,1.6666666666666667,3.0,3.3333333333333335,4.0,4.0
A5_score,34.0,3.3725490196078427,0.5490408280425012,2.0,3.0,3.5,3.9166666666666665,4.0
A6_score,34.0,3.1470588235294117,0.7640542952774412,1.5,2.5,3.25,4.0,4.0
HE_index,34.0,3.173529411764706,0.5626284761181553,1.6,2.9,3.175,3.6,3.9
