,"Entrepreneurial
Motivation","Personal
Well-being","Ethics &
Responsibility","Relationships &
Stakeholders","Innovation &
Future","Social Function
of Business","Entrepreneurial
Self-awareness"
"Entrepreneurial
Motivation",1.0,0.3458716594008321,0.48575852262600877,0.6296871747828745,0.5537696852230954,0.5562386936552617,0.6286413429684046
"Personal
Well-being",0.3458716594008321,1.0,0.37938390519250165,0.38486798687987656,0.292347241208525,0.5048453523500768,0.39657414703837973
"Ethics &
Responsibility",0.48575852262600877,0.37938390519250165,1.0,0.569797364249328,0.6691940431448516,0.6101843345024265,0.6303237612638862
"Relationships &
Stakeholders",0.6296871747828745,0.38486798687987656,0.569797364249328,1.0,0.7355413008901278,0.592813250829711,0.6624388427972646
"Innovation &
Future",0.5537696852230954,0.292347241208525,0.6691940431448516,0.7355413008901278,1.0,0.7310974582212724,0.6633311924850656
"Social Function
of Business",0.5562386936552617,0.5048453523500768,0.6101843345024265,0.592813250829711,0.7310974582212724,1.0,0.63862169027541
"Entrepreneurial
Self-awareness",0.6286413429684046,0.39657414703837973,0.6303237612638862,0.6624388427972646,0.6633311924850656,0.63862169027541,1.0
